method,missing_mode,missing_rate,repeat,rmse
13_GradientBoosting,MCAR,0.2,4,0.337002699729588
14_AdaBoost,MCAR,0.2,4,0.3101054505057399
15_SVR_rbf,MCAR,0.2,4,0.33842957332953527
16_KNN回归_k3,MCAR,0.2,4,0.41451283076410417
17_KNN回归_k5,MCAR,0.2,4,0.33077687391702143
18_MLP神经网络,MCAR,0.2,4,0.3825418740047852
19_迭代插补_贝叶斯,MCAR,0.2,4,0.39931823681055684
20_迭代插补_随机树,MCAR,0.2,4,0.3304457554601103
01_均值填充,MCAR,0.2,5,0.6556174972288987
02_中位数填充,MCAR,0.2,5,0.6383268157109194
03_KNN填充_k3,MCAR,0.2,5,0.6211392339961467
04_KNN填充_k5,MCAR,0.2,5,0.6299138183378938
05_线性回归,MCAR,0.2,5,0.6177949319402823
06_岭回归,MCAR,0.2,5,0.6184103208102829
07_Lasso,MCAR,0.2,5,0.6472434779215246
08_ElasticNet,MCAR,0.2,5,0.6327269287585565
09_贝叶斯岭回归,MCAR,0.2,5,0.6295326980972323
10_决策树,MCAR,0.2,5,0.5121485414150748
11_随机森林,MCAR,0.2,5,0.5301437663162583
12_极端随机树,MCAR,0.2,5,0.5980173477658259
13_GradientBoosting,MCAR,0.2,5,0.501670993311854
14_AdaBoost,MCAR,0.2,5,0.6411030199503216
15_SVR_rbf,MCAR,0.2,5,0.6460190328962135
16_KNN回归_k3,MCAR,0.2,5,0.699067680927601
17_KNN回归_k5,MCAR,0.2,5,0.5799803561725865
18_MLP神经网络,MCAR,0.2,5,0.6527058610955929
19_迭代插补_贝叶斯,MCAR,0.2,5,0.6235819441903948
20_迭代插补_随机树,MCAR,0.2,5,0.59257040086266
01_均值填充,MCAR,0.3,1,0.5017395489385181
02_中位数填充,MCAR,0.3,1,0.5011940061217482
03_KNN填充_k3,MCAR,0.3,1,0.506289128052035
04_KNN填充_k5,MCAR,0.3,1,0.48611712624911785
05_线性回归,MCAR,0.3,1,0.46953293394556916
06_岭回归,MCAR,0.3,1,0.4699314792735161
07_Lasso,MCAR,0.3,1,0.4888169790355438
08_ElasticNet,MCAR,0.3,1,0.47800261527309956
09_贝叶斯岭回归,MCAR,0.3,1,0.4776452730754849
10_决策树,MCAR,0.3,1,0.5163345423341446
11_随机森林,MCAR,0.3,1,0.48107199757735086
12_极端随机树,MCAR,0.3,1,0.4993687561435467
13_GradientBoosting,MCAR,0.3,1,0.4726961768739335
14_AdaBoost,MCAR,0.3,1,0.4500802253217797
15_SVR_rbf,MCAR,0.3,1,0.49976386189776417
16_KNN回归_k3,MCAR,0.3,1,0.5557185995956845
17_KNN回归_k5,MCAR,0.3,1,0.480539829995081
18_MLP神经网络,MCAR,0.3,1,0.5223494569312375
19_迭代插补_贝叶斯,MCAR,0.3,1,0.4812566009297385
20_迭代插补_随机树,MCAR,0.3,1,0.48998297015099085
01_均值填充,MCAR,0.3,2,0.4318671785714743
02_中位数填充,MCAR,0.3,2,0.4322685569084517
03_KNN填充_k3,MCAR,0.3,2,0.49322357167659797
04_KNN填充_k5,MCAR,0.3,2,0.46487472774937
05_线性回归,MCAR,0.3,2,0.45166395341606613
06_岭回归,MCAR,0.3,2,0.45147655922449864
07_Lasso,MCAR,0.3,2,0.433564076957279
08_ElasticNet,MCAR,0.3,2,0.43935389460494934
09_贝叶斯岭回归,MCAR,0.3,2,0.448859200739004
10_决策树,MCAR,0.3,2,0.47135472125132044
11_随机森林,MCAR,0.3,2,0.4172000125220208
12_极端随机树,MCAR,0.3,2,0.4290837905608661
13_GradientBoosting,MCAR,0.3,2,0.463414963323697
14_AdaBoost,MCAR,0.3,2,0.3833139176294739
15_SVR_rbf,MCAR,0.3,2,0.4255319193436201
16_KNN回归_k3,MCAR,0.3,2,0.5127576655040236
17_KNN回归_k5,MCAR,0.3,2,0.4517368873437512
