method,missing_mode,missing_rate,rmse_mean,rmse_std
12_极端随机树,MAR,0.5,0.47566874648331814,0.03997599769144051
12_极端随机树,MCAR,0.1,0.44584516426690757,0.0932520814745219
12_极端随机树,MCAR,0.2,0.48425638410885147,0.09951169957722221
12_极端随机树,MCAR,0.3,0.46946218346471413,0.04916781807531973
12_极端随机树,MCAR,0.4,0.4554204767575934,0.04211091934279021
12_极端随机树,MCAR,0.5,0.45166629403649605,0.03637799370783321
12_极端随机树,MNAR,0.1,0.5130215060977628,0.08412032673051162
12_极端随机树,MNAR,0.2,0.5125728920398123,0.0358885149881319
12_极端随机树,MNAR,0.3,0.51063855624613,0.03281738260766496
12_极端随机树,MNAR,0.4,0.8595327545924671,1.1102230246251565e-16
12_极端随机树,MNAR,0.5,0.8216638649972726,0.03750433744292972
13_GradientBoosting,MAR,0.1,0.4351317694594889,0.06775361644378601
13_GradientBoosting,MAR,0.2,0.38953091330353085,0.03317638285956248
13_GradientBoosting,MAR,0.3,0.42204530107804983,0.026496246038905248
13_GradientBoosting,MAR,0.4,0.46154426175550833,0.03161445600227354
13_GradientBoosting,MAR,0.5,0.4592539050650818,0.025981353301930913
13_GradientBoosting,MCAR,0.1,0.42784043868972316,0.09259218646797042
13_GradientBoosting,MCAR,0.2,0.4684865003410952,0.07469120848823957
13_GradientBoosting,MCAR,0.3,0.46217421639510176,0.0289775765415425
13_GradientBoosting,MCAR,0.4,0.45330111453898414,0.027492304385207098
13_GradientBoosting,MCAR,0.5,0.4428982696439416,0.014721954151508473
13_GradientBoosting,MNAR,0.1,0.5169698485581554,0.06533874581410007
13_GradientBoosting,MNAR,0.2,0.5274982179387043,0.06144176543881453
13_GradientBoosting,MNAR,0.3,0.533829752614969,0.04882854694306316
13_GradientBoosting,MNAR,0.4,0.8856187543993791,0.0
13_GradientBoosting,MNAR,0.5,0.8283852785811503,0.019305621126558155
14_AdaBoost,MAR,0.1,0.39059077347775817,0.06890697116406827
14_AdaBoost,MAR,0.2,0.38016458057337144,0.05909874106849725
14_AdaBoost,MAR,0.3,0.3915817930660833,0.04675111617586528
14_AdaBoost,MAR,0.4,0.44049947722671057,0.01189162305215969
14_AdaBoost,MAR,0.5,0.4461519765029715,0.05557181869795464
14_AdaBoost,MCAR,0.1,0.4103053888362006,0.09546176011039637
14_AdaBoost,MCAR,0.2,0.4607128429764842,0.11872161073831551
14_AdaBoost,MCAR,0.3,0.46817829427174873,0.08563318911504586
14_AdaBoost,MCAR,0.4,0.44277803573660074,0.047212739314579116
14_AdaBoost,MCAR,0.5,0.44304638531015056,0.040758515281254536
14_AdaBoost,MNAR,0.1,0.5382270489463756,0.03647160920448656
14_AdaBoost,MNAR,0.2,0.53053188235366,0.0768322496055122
14_AdaBoost,MNAR,0.3,0.5684229933903596,0.036793666045691155
14_AdaBoost,MNAR,0.4,0.8793215204520177,0.0
14_AdaBoost,MNAR,0.5,0.836645251746517,0.01030410744222749
15_SVR_rbf,MAR,0.1,0.4241327068285875,0.041735587725445424
15_SVR_rbf,MAR,0.2,0.42988338979748414,0.056523222572926635
15_SVR_rbf,MAR,0.3,0.4061007684432236,0.06499378784958966
15_SVR_rbf,MAR,0.4,0.46032079470938586,0.02744681202782872
15_SVR_rbf,MAR,0.5,0.4857421849933695,0.03547780545077092
15_SVR_rbf,MCAR,0.1,0.45259879630850264,0.10548507497973197
15_SVR_rbf,MCAR,0.2,0.46825711820792293,0.11208048956156842
15_SVR_rbf,MCAR,0.3,0.4757475140938719,0.056027961871463035
15_SVR_rbf,MCAR,0.4,0.4656851881217129,0.04413249069878681
15_SVR_rbf,MCAR,0.5,0.46741598634347553,0.041900026887161865
15_SVR_rbf,MNAR,0.1,0.6081647592793396,0.05249512336811591
15_SVR_rbf,MNAR,0.2,0.6164032729876201,0.04904451223984455
15_SVR_rbf,MNAR,0.3,0.6523501197034655,0.033303003928844804
15_SVR_rbf,MNAR,0.4,0.8487069348269912,0.0
15_SVR_rbf,MNAR,0.5,0.8288901915805184,0.04008466708839057
16_KNN回归_k3,MAR,0.1,0.49917999155542636,0.12515817821099562
16_KNN回归_k3,MAR,0.2,0.44015529547572435,0.057031690128293414
16_KNN回归_k3,MAR,0.3,0.43890277175343684,0.04615426395548711
16_KNN回归_k3,MAR,0.4,0.44324461436748647,0.058189321538449815
16_KNN回归_k3,MAR,0.5,0.47335795547577825,0.031220087105121364
16_KNN回归_k3,MCAR,0.1,0.5189583722788933,0.1448985825092101
16_KNN回归_k3,MCAR,0.2,0.5663792182373998,0.10633536598828673
16_KNN回归_k3,MCAR,0.3,0.541975371390019,0.07924762697119649
16_KNN回归_k3,MCAR,0.4,0.4897324916782509,0.043988965760964206
16_KNN回归_k3,MCAR,0.5,0.4630537957724896,0.057308433342898216
16_KNN回归_k3,MNAR,0.1,0.5919389151714126,0.13531600643596897
16_KNN回归_k3,MNAR,0.2,0.5950688354809787,0.06794025179923449
16_KNN回归_k3,MNAR,0.3,0.5963795380544982,0.03810257469017223
16_KNN回归_k3,MNAR,0.4,0.8951218319181724,0.0
16_KNN回归_k3,MNAR,0.5,0.8405856032921435,0.019893089114120723
